check,check_name,severity,package,state_before,state_after,evidence_before
C1,Mutable image reference,BLOCK,tag-estate-grade-versus-status-split,FAIL,PASS,"{""environment/Dockerfile"": 1, ""task.toml"": 1, ""environment/_app/task.toml"": 1}"
C1,Mutable image reference,BLOCK,unanswered-invitation-silence-audit,FAIL,PASS,"{""files_edited"": {""environment/Dockerfile"": 1, ""environment/_app/task.toml"": 1, ""task.toml"": 1}, ""source_sha256"": ""d4fa3fa87f59768b6e492585f128ed07b391aeb2c7756"
C1,Mutable image reference,BLOCK,unclosed-review-thread-backlog-ownership-split,FAIL,PASS,"{""files_edited"": {""environment/Dockerfile"": 1, ""environment/_app/task.toml"": 1, ""task.toml"": 1}, ""source_sha256"": ""01bf182adb5fea88d40c89d407b34ee0378296fa560aa"
C1,Mutable image reference,BLOCK,urgent-label-inflation-2027-audit,FAIL,PASS,"{""environment/Dockerfile"": 1, ""task.toml"": 1, ""environment/_app/task.toml"": 1}"
C2,Internal infrastructure address,BLOCK,code-c142-autoscaling-headroom-recompute,FAIL,PASS,gateway_ip=39
C2,Internal infrastructure address,BLOCK,code-c165-business-profile-completeness-audit,FAIL,PASS,gateway_ip=55
C2,Internal infrastructure address,BLOCK,code-c221-api-auth-method-compliance-audit,FAIL,PASS,gateway_ip=18
C2,Internal infrastructure address,BLOCK,code-c349-tenant-provisioning-cutover-audit,FAIL,PASS,gateway_ip=28
C2,Internal infrastructure address,BLOCK,code-c356-wine-list-print-readiness-audit,FAIL,PASS,gateway_ip=44
C2,Internal infrastructure address,BLOCK,code-c366-agent-orchestration-run-audit,FAIL,PASS,gateway_ip=36
C2,Internal infrastructure address,BLOCK,code-c387-htgcd-well-permit-compliance-audit,FAIL,PASS,gateway_ip=28
C2,Internal infrastructure address,BLOCK,code-c395-cis-subcontractor-deduction-audit,FAIL,PASS,gateway_ip=28
C2,Internal infrastructure address,BLOCK,code-c413-service-account-repo-grant-audit,FAIL,PASS,gateway_ip=16
C2,Internal infrastructure address,BLOCK,code-c423-multi-campus-account-access-audit,FAIL,PASS,gateway_ip=30
C2,Internal infrastructure address,BLOCK,code-c443-plan-list-field-mapping-migration-audit,FAIL,PASS,gateway_ip=45
C2,Internal infrastructure address,BLOCK,code-c645-subcontractor-prevailing-wage-audit,FAIL,PASS,gateway_ip=30
C2,Internal infrastructure address,BLOCK,fin-f8-bank-reconciliation,FAIL,PASS,gateway_ip=36
C2,Internal infrastructure address,BLOCK,gen-g1113-homeschool-geography-sequencing-audit,FAIL,PASS,gateway_ip=33
C2,Internal infrastructure address,BLOCK,gen-g1119-ati-template-completion-audit,FAIL,PASS,gateway_ip=50
C2,Internal infrastructure address,BLOCK,gen-g1176-application-kit-disclosure-audit,FAIL,PASS,gateway_ip=28
C2,Internal infrastructure address,BLOCK,gen-g1202-content-repurposing-coverage-audit,FAIL,PASS,gateway_ip=10
C2,Internal infrastructure address,BLOCK,gen-g1230-furniture-arrangement-validity-audit,FAIL,PASS,gateway_ip=28
C2,Internal infrastructure address,BLOCK,gen-g1263-worship-slide-style-compliance-audit,FAIL,PASS,gateway_ip=44
C2,Internal infrastructure address,BLOCK,gen-g295-pdf-translation-audit,FAIL,PASS,gateway_ip=59
C2,Internal infrastructure address,BLOCK,gen-g565-channel-publishing-settings-audit,FAIL,PASS,gateway_ip=40
C2,Internal infrastructure address,BLOCK,gen-g59-accreditation-compliance-recompute,FAIL,PASS,gateway_ip=40
C2,Internal infrastructure address,BLOCK,gen-g794-lecture-transcript-slide-crossref-audit-hard,FAIL,PASS,gateway_ip=20
C2,Internal infrastructure address,BLOCK,gen-g872-bulk-unit-discount-eligibility-audit,FAIL,PASS,gateway_ip=30
C2,Internal infrastructure address,BLOCK,gen-g958-monogram-trademark-priority-deadline-audit,FAIL,PASS,gateway_ip=44
C2,Internal infrastructure address,BLOCK,gen-g960-nonprofit-tradeshow-asset-sourcing-audit,FAIL,PASS,gateway_ip=35
C2,Internal infrastructure address,BLOCK,gen-g972-franchise-signage-brandmark-recreation-audit,FAIL,PASS,gateway_ip=16
C2,Internal infrastructure address,BLOCK,health-h125-eye-drop-lens-compatibility-audit,FAIL,PASS,gateway_ip=28
C2,Internal infrastructure address,BLOCK,health-h23-specimen-labelling-taxonomy,FAIL,PASS,gateway_ip=28
C2,Internal infrastructure address,BLOCK,health-h28-screening-interval-recall,FAIL,PASS,gateway_ip=37
C2,Internal infrastructure address,BLOCK,health-h39-theatre-utilisation-coding,FAIL,PASS,gateway_ip=3
C2,Internal infrastructure address,BLOCK,health-h59-bp-staging-badge-audit,FAIL,PASS,gateway_ip=28
C2,Internal infrastructure address,BLOCK,health-h66-cme-reference-currency-gap-audit,FAIL,PASS,gateway_ip=28
C2,Internal infrastructure address,BLOCK,health-h67-youth-mtb-safety-check-audit,FAIL,PASS,gateway_ip=36
C2,Internal infrastructure address,BLOCK,health-h71-dermatology-lesion-referral-audit,FAIL,PASS,gateway_ip=32
C2,Internal infrastructure address,BLOCK,health-h77-incentive-spirometry-adherence-audit,FAIL,PASS,gateway_ip=28
C2,Internal infrastructure address,BLOCK,health-h78-research-grant-coi-disclosure-audit,FAIL,PASS,gateway_ip=28
C2,Internal infrastructure address,BLOCK,health-h82-pediatric-therapy-goal-note-audit,FAIL,PASS,gateway_ip=32
C2,Internal infrastructure address,BLOCK,health-h98-ebook-production-compliance-audit,FAIL,PASS,gateway_ip=32
C2,Internal infrastructure address,BLOCK,law-l19-trademark-class-overlap,FAIL,PASS,gateway_ip=28
C2,Internal infrastructure address,BLOCK,law-l29-survival-periods,FAIL,PASS,gateway_ip=8
C2,Internal infrastructure address,BLOCK,law-l47-consumer-warranty-statute-reconcile,FAIL,PASS,gateway_ip=20
C2,Internal infrastructure address,BLOCK,law-l49-dscsa-trading-partner-verification-audit,FAIL,PASS,gateway_ip=28
C2,Internal infrastructure address,BLOCK,law-l51-sstb-compensation-concentration-audit,FAIL,PASS,gateway_ip=32
C2,Internal infrastructure address,BLOCK,law-l89-hcpcs-jcode-assignment-audit,FAIL,PASS,gateway_ip=36
C3,Authoring-machine path,BLOCK,gen-g1119-ati-template-completion-audit,FAIL,PASS,local_paths=20
C3,Authoring-machine path,BLOCK,gen-g295-pdf-translation-audit,FAIL,PASS,local_paths=14
C3,Authoring-machine path,BLOCK,gen-g565-channel-publishing-settings-audit,FAIL,PASS,local_paths=4
C3,Authoring-machine path,BLOCK,gen-g59-accreditation-compliance-recompute,FAIL,PASS,local_paths=8
C3,Authoring-machine path,BLOCK,gen-g794-lecture-transcript-slide-crossref-audit-hard,FAIL,PASS,local_paths=1
C3,Authoring-machine path,BLOCK,gen-g872-bulk-unit-discount-eligibility-audit,FAIL,PASS,local_paths=10
C3,Authoring-machine path,BLOCK,gen-g972-franchise-signage-brandmark-recreation-audit,FAIL,PASS,local_paths=4
C3,Authoring-machine path,BLOCK,health-h39-theatre-utilisation-coding,FAIL,PASS,local_paths=1
C3,Authoring-machine path,BLOCK,law-l29-survival-periods,FAIL,PASS,local_paths=4
C4,Undeclared connector data provenance,BLOCK,appointment-backlog-placeholder-and-duplicate-audit,FAIL,PASS,"{""files_edited"": {""environment/_app/task.toml"": 1, ""task.toml"": 1}, ""previous_sha256"": ""17065c669d43dc28b8732e5d254f64547176c14cdc00027801a30f8cfc1033bd"", ""rele"
C4,Undeclared connector data provenance,BLOCK,appointment-backlog-stub-page-sweep,FAIL,PASS,"{""task.toml"": 1, ""environment/_app/task.toml"": 1}"
C4,Undeclared connector data provenance,BLOCK,ephyra-trunk-dependency-churn-manifest-audit,FAIL,PASS,"{""files_edited"": {""environment/_app/task.toml"": 1, ""task.toml"": 1}, ""previous_sha256"": ""d99988d628060c3d0bcbf85f4ac73af3cc23569b17154094f4570580c675e7c1"", ""rele"
C4,Undeclared connector data provenance,BLOCK,harbor-single-task-f9w4ghvz,FAIL,PASS,"{""files_edited"": {""environment/_app/task.toml"": 1, ""task.toml"": 1}, ""previous_sha256"": ""ddf52dc613bcc5074a4351e916f967dc20250347de717870d2f8b98f268126f8"", ""rele"
C4,Undeclared connector data provenance,BLOCK,harbor-single-task-t8rwovcc,FAIL,PASS,"{""task.toml"": 1, ""environment/_app/task.toml"": 1}"
C4,Undeclared connector data provenance,BLOCK,harbor-single-task-veeecron,FAIL,PASS,"{""files_edited"": {""environment/_app/task.toml"": 1, ""task.toml"": 1}, ""previous_sha256"": ""22150d81b1497959dc8f2b2dab84b5623a9d33677347ad863376f45db0bcb5a8"", ""rele"
C4,Undeclared connector data provenance,BLOCK,how-much-of-my-drive-is-link-only,FAIL,PASS,"{""files_edited"": {""environment/_app/task.toml"": 1, ""task.toml"": 1}, ""previous_sha256"": ""5f5c98219e458e4f76e8c10107d7345e3c57cb8ec65c05b03a9a275dd434aa82"", ""rele"
C4,Undeclared connector data provenance,BLOCK,how-much-of-my-drive-is-link-only-realdocoutput,FAIL,PASS,"{""task.toml"": 1, ""environment/_app/task.toml"": 1}"
C4,Undeclared connector data provenance,BLOCK,onboarding-pack-feature-readiness-spread,FAIL,PASS,"{""files_edited"": {""environment/_app/task.toml"": 1, ""task.toml"": 1}, ""previous_sha256"": ""24e013ff4d3c6754479f2c6d829d08ea0c8dea79253fe01b0cf5829610b0576b"", ""rele"
C4,Undeclared connector data provenance,BLOCK,opened-files-migration-volume-signoff,FAIL,PASS,"{""files_edited"": {""environment/_app/task.toml"": 1, ""task.toml"": 1}, ""previous_sha256"": ""fa87c1d1e9781da4cf33b9c8e18168aaba72fc813ec17fc19823e02461b76c48"", ""rele"
C4,Undeclared connector data provenance,BLOCK,opened-files-migration-volume-signoff-realdocoutput,FAIL,PASS,"{""task.toml"": 1, ""environment/_app/task.toml"": 1}"
C4,Undeclared connector data provenance,BLOCK,relay-only-correspondents-cutover-exposure,FAIL,PASS,"{""files_edited"": {""environment/_app/task.toml"": 1, ""task.toml"": 1}, ""previous_sha256"": ""fcb32000415321ff16f17e7b060dee5579e1c6f599dfbaf775c849861259410d"", ""rele"
C4,Undeclared connector data provenance,BLOCK,rsvp-silence-backlog-among-2026-regulars,FAIL,PASS,"{""files_edited"": {""environment/_app/task.toml"": 1, ""task.toml"": 1}, ""previous_sha256"": ""ae62543539230539c219af0fffac87813d7a4ce3219ccb4671d96f8b2beeb217"", ""rele"
C4,Undeclared connector data provenance,BLOCK,stored-version-retention-readout,FAIL,PASS,"{""task.toml"": 1, ""environment/_app/task.toml"": 1}"
C4,Undeclared connector data provenance,BLOCK,tag-estate-grade-versus-status-split,FAIL,PASS,"{""task.toml"": 1, ""environment/_app/task.toml"": 1}"
C4,Undeclared connector data provenance,BLOCK,unanswered-invitation-silence-audit,FAIL,PASS,"{""files_edited"": {""environment/_app/task.toml"": 1, ""task.toml"": 1}, ""previous_sha256"": ""211d96d4046287ede932b359ff82452ea79937436c43ad6d8e445c3efa94bbd1"", ""rele"
